DRINKS,OLD_STOCK,SUPPLY ,TOTAL_OLDSTOCK,NEWSTOCK,SOLD,PURCHASEPRICE,TOTALAMOUNT_PP,SELLINGPRICE,TOTALAMOUNT_SP,PROFIT,DATE
Trophy,22,0,22,8,14,417,5838,600,8400,2562,2/24/2024
Hero,0,12,12,7,5,417,2085,600,3000,915,2/24/2024
Legend,7,0,7,7,0,667,0,900,0,0,2/24/2024
Burdwieser,4,0,4,4,0,567,0,800,0,0,2/24/2024
Heineken,10,0,10,8,2,667,1334,1000,2000,666,2/24/2024
Despirado,21,0,21,20,1,540,540,800,800,260,2/24/2024
M/Stout,10,0,10,8,2,583,1166,800,1600,434,2/24/2024
Smooth,10,0,10,10,0,583,0,800,0,0,2/24/2024
Goldberg,15,0,15,15,0,433,0,600,0,0,2/24/2024
Origin Beer,11,0,11,11,0,517,0,600,0,0,2/24/2024
B/Ice,9,0,9,8,1,667,667,900,900,233,2/24/2024
Goldberg/Black,14,0,14,14,0,0,0,700,0,0,2/24/2024
Tiger,19,0,19,17,2,435,870,600,1200,330,2/24/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/24/2024
Star Ragler,20,0,20,20,0,390,0,600,0,0,2/24/2024
Star,1,0,1,1,0,517,0,700,0,0,2/24/2024
Star lite,6,0,6,3,3,517,1551,600,1800,249,2/24/2024
Life,0,0,0,0,0,417,0,600,0,0,2/24/2024
Gulder,6,0,6,6,0,542,0,700,0,0,2/24/2024
Flying fish,21,0,21,21,0,350,0,600,0,0,2/24/2024
Trophy stout,12,0,12,10,2,542,1084,700,1400,316,2/24/2024
Malt,22,0,22,17,5,333,1665,400,2000,335,2/24/2024
Fayrouz,10,0,10,7,3,300,900,400,1200,300,2/24/2024
Trophy,8,12,20,7,13,417,5421,600,7800,2379,2/25/2024
Hero,7,12,19,13,6,417,2502,600,3600,1098,2/25/2024
Legend,7,0,7,5,2,667,1334,900,1800,466,2/25/2024
Burdwieser,4,0,4,4,0,567,0,800,0,0,2/25/2024
Heineken,8,0,8,6,2,667,1334,1000,2000,666,2/25/2024
Despirado,20,0,20,19,1,540,540,800,800,260,2/25/2024
M/Stout,8,0,8,0,8,583,4664,900,7200,2536,2/25/2024
Smooth,10,0,10,9,1,583,583,900,900,317,2/25/2024
Goldberg,15,0,15,13,2,433,866,600,1200,334,2/25/2024
Origin Beer,11,0,11,11,0,517,0,600,0,0,2/25/2024
B/Ice,8,0,8,7,1,667,667,900,900,233,2/25/2024
Goldberg/Black,14,0,14,14,0,0,0,700,0,0,2/25/2024
Tiger,19,0,19,12,7,435,3045,600,4200,1155,2/25/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/25/2024
Star Ragler,20,0,20,18,2,390,780,600,1200,420,2/25/2024
Star,1,0,1,0,1,517,517,700,700,183,2/25/2024
Star lite,3,0,3,0,3,517,1551,600,1800,249,2/25/2024
Life,0,0,0,0,0,417,0,600,0,0,2/25/2024
Gulder,6,0,6,5,1,542,542,700,700,158,2/25/2024
Flying fish,21,0,21,21,0,350,0,600,0,0,2/25/2024
Trophy stout,10,0,10,8,2,542,1084,700,1400,316,2/25/2024
Malt,15,0,15,6,9,333,2997,500,4500,1503,2/25/2024
Fayrouz,7,0,7,5,2,300,600,400,800,200,2/25/2024
Trophy,7,36,43,7,36,417,15012,600,21600,6588,2/26/2024
Hero,13,12,25,0,25,417,10425,600,15000,4575,2/26/2024
Legend,5,12,17,10,7,667,4669,900,6300,1631,2/26/2024
Burdwieser,4,0,4,4,0,567,0,800,0,0,2/26/2024
Heineken,6,0,6,5,1,667,667,1000,1000,333,2/26/2024
Despirado,19,0,19,15,4,540,2160,800,3200,1040,2/26/2024
M/Stout,0,0,0,0,0,583,0,900,0,0,2/26/2024
Smooth,9,6,15,10,5,583,2915,900,4500,1585,2/26/2024
Goldberg,13,0,13,4,9,433,3897,600,5400,1503,2/26/2024
Origin Beer,11,0,11,10,1,517,517,600,600,83,2/26/2024
B/Ice,7,0,7,0,7,667,4669,900,6300,1631,2/26/2024
Goldberg/Black,14,0,14,12,2,0,0,700,1400,1400,2/26/2024
Tiger,12,0,12,7,5,435,2175,600,3000,825,2/26/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/26/2024
Star Ragler,18,0,18,14,4,390,1560,600,2400,840,2/26/2024
Star,0,12,12,10,2,517,1034,700,1400,366,2/26/2024
Star lite,0,0,0,0,0,517,0,600,0,0,2/26/2024
Life,0,0,0,0,0,417,0,600,0,0,2/26/2024
Gulder,5,0,5,5,0,542,0,700,0,0,2/26/2024
Flying fish,21,0,21,21,0,350,0,600,0,0,2/26/2024
Trophy stout,8,0,8,7,1,542,542,700,700,158,2/26/2024
Malt,6,24,30,10,20,333,6660,500,10000,3340,2/26/2024
Fayrouz,5,0,5,1,4,300,1200,400,1600,400,2/26/2024
Trophy,7,24,31,18,13,417,5421,600,7800,2379,2/27/2024
Hero,0,0,0,0,0,417,0,600,0,0,2/27/2024
Legend,10,0,10,8,2,667,1334,900,1800,466,2/27/2024
Burdwieser,4,0,4,2,2,567,1134,800,1600,466,2/27/2024
Heineken,5,0,5,5,0,667,0,1000,0,0,2/27/2024
Despirado,15,20,35,24,11,540,5940,800,8800,2860,2/27/2024
M/Stout,0,0,0,0,0,583,0,900,0,0,2/27/2024
Smooth,10,0,10,6,4,583,2332,900,3600,1268,2/27/2024
Goldberg,4,0,4,3,1,433,433,600,600,167,2/27/2024
Origin Beer,10,0,10,10,0,517,0,600,0,0,2/27/2024
B/Ice,0,12,12,10,2,667,1334,900,1800,466,2/27/2024
Goldberg/Black,0,0,0,0,0,0,0,700,0,0,2/27/2024
Tiger,7,0,7,6,1,435,435,600,600,165,2/27/2024
Castle Lite,0,0,0,0,0,458,0,600,0,0,2/27/2024
Star Ragler,14,0,14,8,6,390,2340,600,3600,1260,2/27/2024
Star,10,0,10,10,0,517,0,700,0,0,2/27/2024
Star lite,0,0,0,0,0,517,0,600,0,0,2/27/2024
Life,0,0,0,0,0,417,0,600,0,0,2/27/2024
Gulder,5,0,5,5,0,542,0,700,0,0,2/27/2024
Flying fish,0,0,0,0,0,350,0,600,0,0,2/27/2024
Trophy stout,7,0,7,7,0,542,0,700,0,0,2/27/2024
Malt,10,0,10,1,9,333,2997,500,4500,1503,2/27/2024
Fayrouz,1,0,1,0,1,300,300,400,400,100,2/27/2024
TROPHY,18,36,54,40,14,417,5838,600,8400,2562,2/28/2024
HERO,0,24,24,20,4,417,1668,600,2400,732,2/28/2024
LEGEND,8,0,8,8,0,667,0,900,0,0,2/28/2024
HEINEKEN,5,0,5,1,4,667,2668,1000,4000,1332,2/28/2024
DESPERADOS,24,0,24,19,5,540,2700,800,4000,1300,2/28/2024
M/STOUT,0,0,0,0,0,583,0,900,0,0,2/28/2024
SMOOTH,6,0,6,6,0,583,0,900,0,0,2/28/2024
GOLDBERG,3,12,15,14,1,433,433,600,600,167,2/28/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,2/28/2024
ORIGIN BEER,10,0,10,10,0,517,0,600,0,0,2/28/2024
BIG ICE,10,0,10,8,2,667,1334,900,1800,466,2/28/2024
TIGER,6,0,6,4,2,435,870,600,1200,330,2/28/2024
STAR RAGLER,8,0,8,8,0,390,0,600,0,0,2/28/2024
STAR ,10,0,10,10,0,517,0,700,0,0,2/28/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,2/28/2024
LIFE,0,12,12,12,0,417,0,600,0,0,2/28/2024
GULDER,5,0,5,5,0,542,0,700,0,0,2/28/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,2/28/2024
TROPHY STOUT,5,0,5,5,0,542,0,700,0,0,2/28/2024
MALT,1,24,25,17,8,333,2664,500,4000,1336,2/28/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,2/28/2024
BUDWEISER,2,0,2,1,1,567,567,800,800,233,2/28/2024
TROPHY,40,0,40,17,23,417,9591,600,13800,4209,2/29/2024
HERO,20,0,20,13,7,417,2919,600,4200,1281,2/29/2024
LEGEND,8,0,8,8,0,667,0,900,0,0,2/29/2024
HEINEKEN,1,12,13,9,4,667,2668,1000,4000,1332,2/29/2024
DESPERADOS,19,0,19,19,0,540,0,800,0,0,2/29/2024
M/STOUT,0,0,0,0,0,583,0,900,0,0,2/29/2024
SMOOTH,6,0,6,6,0,583,0,900,0,0,2/29/2024
GOLDBERG,14,0,14,13,1,433,433,600,600,167,2/29/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,2/29/2024
ORIGIN BEER,10,0,10,6,4,517,2068,600,2400,332,2/29/2024
BIG ICE,8,0,8,2,6,667,4002,900,5400,1398,2/29/2024
TIGER,4,0,4,2,2,435,870,600,1200,330,2/29/2024
STAR RAGLER,8,0,8,8,0,390,0,600,0,0,2/29/2024
STAR ,10,0,10,10,0,517,0,700,0,0,2/29/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,2/29/2024
LIFE,12,0,12,11,1,417,417,600,600,183,2/29/2024
GULDER,5,0,5,5,0,542,0,700,0,0,2/29/2024
FLYING FISH,0,0,0,0,0,350,0,600,0,0,2/29/2024
TROPHY STOUT,5,0,5,3,2,542,1084,700,1400,316,2/29/2024
MALT,17,0,17,4,13,333,4329,500,6500,2171,2/29/2024
FAYROUZ,0,0,0,0,0,300,0,400,0,0,2/29/2024
BUDWEISER,1,0,1,1,0,567,0,800,0,0,2/29/2024
TROPHY,17,24,41,1,40,417,16680,600,24000,7320,2/1/2024
HERO,13,12,25,7,18,417,7506,600,10800,3294,2/1/2024
LEGEND,5,0,5,3,2,667,1334,900,1800,466,2/1/2024
HEINEKEN,9,0,9,0,9,667,6003,1000,9000,2997,2/1/2024
DESPERADOS,19,0,19,11,8,540,4320,800,6400,2080,2/1/2024
M/STOUT,0,0,0,0,0,583,0,900,0,0,2/1/2024
SMOOTH,6,0,6,6,0,583,0,900,0,0,2/1/2024
GOLDBERG,13,0,13,13,0,433,0,600,0,0,2/1/2024
G/BLACK,0,0,0,0,0,0,0,700,0,0,2/1/2024
ORIGIN BEER,6,0,6,6,0,517,0,600,0,0,2/1/2024
BIG ICE,2,12,14,6,8,667,5336,900,7200,1864,2/1/2024
TIGER,2,0,2,2,0,435,0,600,0,0,2/1/2024
STAR RAGLER,8,0,8,8,0,390,0,600,0,0,2/1/2024
STAR ,10,0,10,10,0,517,0,700,0,0,2/1/2024
STAR LITE,0,0,0,0,0,517,0,600,0,0,2/1/2024
LIFE,11,0,11,5,6,417,2502,600,3600,1098,2/1/2024
